user13:41;41;41;41;41;41;41;41;41;41
user110:28;28;28;28;28;28;28;28;42;42
user153:41;41;41;41;41;41;41;41;41;41
user192:15;15;62;62;62;62;62;62;62;62
user33:35;35;35;35;35;35;35;35;35;35
user26:39;39;52;53;52;52;53;39;39;39
user17:15;15;15;15;15;15;15;15;15;15
user179:22;22;22;22;22;22;22;22;22;22
user58:5;5;5;0;5;5;5;0;5;5
user34:15;15;15;15;15;15;15;15;15;15
user94:61;61;61;61;61;61;61;61;61;61
user130:5;5;5;5;5;5;5;5;5;5
user57:43;43;44;43;44;44;43;43;43;45
user129:23;23;23;23;23;23;23;23;23;23
user10:27;65;65;27;27;65;65;27;65;27
user146:41;41;41;41;41;41;41;41;65;41
user107:56;56;56;56;56;56;56;56;56;56
user81:22;22;22;22;22;22;22;22;22;22
user2:45;45;45;45;45;45;43;45;45;45
user118:39;39;32;39;39;39;39;39;39;39
user43:56;56;56;56;56;56;56;56;56;56
user121:28;54;54;54;28;28;28;12;12;56
user189:1;0;0;0;0;0;1;1;0;1
user160:15;15;15;15;15;15;15;15;15;15
user119:39;39;39;39;39;39;39;39;39;39
user159:42;42;42;42;42;42;28;42;42;42
user175:15;15;15;15;15;15;15;15;15;15
user11:61;61;61;61;61;0;1;0;1;1
user60:27;23;65;26;27;27;61;65;27;65
user177:1;1;1;0;1;0;0;0;0;0
user140:0;0;2;0;0;0;2;2;1;0
user82:61;61;61;61;61;61;61;61;61;61
user123:15;15;15;15;15;15;15;15;15;15
user21:34;34;34;34;34;39;15;15;15;15
user116:1;1;0;0;0;0;0;1;1;1
user47:43;43;45;43;43;45;45;43;43;43
user113:0;0;1;1;1;1;0;0;0;0
user144:43;43;43;45;43;45;43;45;45;43
user181:43;43;45;43;43;43;43;43;45;45
user169:1;1;1;0;1;0;1;1;1;1
user168:37;37;37;36;36;36;36;36;65;36
user23:0;0;0;0;0;1;1;1;0;0
user14:9;9;1;0;0;0;1;1;1;0
user24:42;42;28;42;42;42;42;56;56;56
user96:43;65;43;43;65;44;44;44;44;44
user128:27;65;65;27;27;27;23;27;27;26
user84:0;0;2;2;0;2;2;2;0;0
user142:43;43;43;43;0;0;0;0;0;0
user79:0;0;0;0;3;3;3;3;0;0
user93:45;45;45;45;45;45;43;45;45;43
user63:41;41;41;41;41;41;41;41;41;41
user45:0;0;3;3;0;3;3;0;0;0
user25:0;0;0;0;1;1;0;43;0;44
user46:1;0;0;0;0;0;0;1;1;1
user156:5;5;5;5;5;5;0;5;5;5
user139:1;1;45;43;43;43;43;43;43;43
user194:0;0;0;0;0;5;0;0;0;5
user200:5;0;0;0;0;5;5;5;5;0
user195:8;0;0;0;0;0;8;8;8;8
user73:3;3;0;0;0;0;0;0;0;3
user67:59;59;59;59;59;60;60;60;60;60
user127:61;61;61;61;61;61;61;61;61;61
user145:5;5;5;5;5;5;5;0;0;0
user86:10;10;10;10;10;10;10;10;10;10
user4:39;39;39;39;39;39;39;39;39;39
user163:43;43;45;43;43;43;43;45;43;43
user19:6;6;6;6;6;0;0;0;0;0
user44:0;3;0;0;0;0;0;0;3;3
user196:0;0;0;5;0;5;5;5;5;5
user188:0;0;0;0;0;3;0;3;3;3
user122:5;5;5;5;5;5;5;5;5;5
user148:43;43;43;45;45;43;45;43;43;43
user133:43;45;43;45;43;43;43;43;45;45
user83:15;15;15;15;15;15;15;39;15;15
user91:59;59;59;60;60;60;60;60;60;17
user182:0;0;0;0;0;0;0;0;0;0
user32:0;3;3;3;3;0;0;0;0;0
user191:7;7;7;7;7;7;7;7;7;7
user193:0;0;0;0;5;5;5;5;3;3
user61:0;0;0;0;0;3;3;0;3;3
user8:0;5;0;0;0;0;0;0;0;0
user152:5;0;0;0;0;5;5;5;5;0
user172:0;0;0;0;0;3;3;3;0;3
user138:3;3;3;3;3;3;0;3;0;0
user112:43;45;43;43;45;45;43;45;45;45
user174:0;6;0;5;5;5;5;5;5;5
user151:3;3;0;3;3;3;3;3;3;3
user106:43;43;43;43;43;44;43;43;44;43
user90:6;6;6;6;6;6;6;6;0;1
user87:45;45;45;43;45;43;43;45;43;43
user124:0;0;0;0;0;0;0;0;7;0
user158:0;0;0;7;7;1;0;0;0;0
user186:3;3;3;3;0;0;0;0;0;0
user68:0;0;0;0;0;0;3;0;3;3
user164:0;0;0;0;5;5;5;5;0;0
user137:43;45;43;43;43;43;43;45;43;45
user131:0;0;0;0;1;1;1;0;1;0
user100:0;0;5;5;5;5;0;5;5;5
user167:39;39;39;39;39;39;39;39;39;39
user70:1;1;1;1;1;1;45;0;1;0
user5:39;39;39;39;39;39;39;39;39;39
user52:65;65;65;65;65;16;16;16;65;65
user154:15;15;15;15;15;15;15;15;15;15
user77:0;0;5;5;5;0;0;5;5;5
user35:0;5;5;0;5;5;5;5;5;5
user41:0;0;0;0;0;5;0;0;0;0
user88:44;44;44;43;44;44;44;44;44;43
user102:60;60;60;60;60;59;59;59;60;17
user66:5;0;5;5;5;5;5;0;5;5
user80:5;5;5;5;0;0;5;5;5;5
user157:43;43;43;45;45;43;45;45;0;2
user37:3;3;3;3;3;3;3;0;3;0
user53:13;13;13;13;13;13;13;13;13;13
user74:22;22;22;22;22;22;22;22;22;22
user197:60;60;59;60;60;60;60;60;60;60
user134:22;22;22;22;22;65;65;22;22;22
user135:65;65;43;44;43;43;43;43;43;43
user89:0;3;3;3;3;3;3;3;3;1
user120:39;39;39;39;39;42;42;42;42;42
user95:5;5;5;0;0;5;0;0;0;0
user48:41;41;41;41;41;41;41;41;41;41
user109:43;43;44;44;43;45;45;43;45;43
user6:28;28;55;55;55;56;56;54;54;54
user65:13;13;13;13;13;13;13;13;13;13
user71:55;55;55;55;55;55;55;55;55;55
user75:39;39;39;39;39;39;39;39;39;39
user178:0;3;3;3;3;3;3;3;3;0
user9:15;15;15;15;15;15;15;15;15;15
user22:55;55;42;42;42;28;42;42;42;56
user126:60;60;60;59;59;59;59;60;59;60
user31:43;44;43;44;44;44;43;43;44;44
user62:65;51;47;47;47;47;47;51;51;51
user115:22;22;22;22;22;22;22;22;22;22
user183:43;43;45;43;43;43;43;43;45;45
user180:61;61;61;61;61;61;61;61;61;61
user27:44;44;44;43;43;43;43;44;44;44
user50:0;1;0;0;0;0;0;0;0;0
user184:0;0;5;5;0;5;5;45;43;43
user114:39;39;28;28;28;28;28;28;28;39
user104:65;27;65;27;27;26;27;27;26;26
user132:15;15;15;15;15;15;15;15;15;15
user105:3;3;3;3;3;3;3;3;3;3
user28:18;65;21;21;18;18;18;18;21;21
user42:15;15;10;10;10;10;10;10;10;10
user39:18;19;19;18;18;19;18;18;18;18
user36:18;18;19;18;18;18;18;19;19;20
user16:58;58;65;65;58;58;65;65;65;58
user18:65;65;58;58;58;65;58;65;65;65
user92:18;20;18;18;18;20;20;20;20;18
user176:0;0;2;2;2;2;0;2;2;0
user54:20;57;58;58;58;58;58;58;58;58
user108:55;55;55;55;56;56;56;56;56;56
user111:49;47;47;47;47;47;47;49;49;65
user72:5;5;5;5;5;0;0;0;5;5
user149:33;33;33;65;33;65;33;33;33;34
user64:22;22;22;22;22;22;22;22;22;22
user38:3;3;3;3;3;3;3;3;3;3
